InteractionID	PeakID.1.	chr.1.	start.1.	end.1.	strand.1.	Total.Reads.1.	PeakID.2.	chr.2.	start.2.	end.2.	strand.2.	Total.Reads.2.	Distance	Interaction.Reads	Expected.Reads	Z.score	LogP	FDR.Benjamini..based.on.3.68e.08.total.tests.	Circos.Thickness
interaction953	chr14-32400000	chr14	32400000	32500000	+	9020	chr14-32300000	chr14	32300000	32400000	+	9094	82416	241	74.561692	3.272882	-121.1426	0	10
interaction970	chr15-80300000	chr15	80300000	80400000	+	11387	chr15-80100000	chr15	80100000	80200000	+	10336	201188	189	48.748648	2.563225	-120.05707	0	10
interaction986	chr15-74900000	chr15	74900000	75000000	+	7806	chr15-74500000	chr15	74500000	74600000	+	10942	396802	123	20.991452	2.748816	-119.270489	0	10
interaction1015	chr14-26300000	chr14	26300000	26400000	+	9335	chr14-25800000	chr14	25800000	25900000	+	11094	501714	124	21.496432	2.623347	-118.496492	0	10
interaction1020	chr14-35500000	chr14	35500000	35600000	+	10669	chr14-35400000	chr14	35400000	35500000	+	14235	100926	341	133.317473	2.623973	-117.966419	0	10
interaction1024	chr15-79900000	chr15	79900000	80000000	+	12264	chr15-79700000	chr15	79700000	79800000	+	7925	180826	170	40.831081	2.695643	-117.584678	0	10
interaction1031	chr15-82000000	chr15	82000000	82100000	+	10396	chr15-81800000	chr15	81800000	81900000	+	10877	194397	184	47.354966	2.566967	-117.225096	0	10
interaction1042	chr15-94000000	chr15	94000000	94100000	+	12738	chr15-93400000	chr15	93400000	93500000	+	12734	599447	139	27.600095	2.347103	-116.969148	0	10
interaction1045	chr15-78500000	chr15	78500000	78600000	+	12704	chr15-78400000	chr15	78400000	78500000	+	10779	94701	319	120.720479	2.714369	-116.87837	0	10
interaction1063	chr15-66700000	chr15	66700000	66800000	+	11431	chr15-66500000	chr15	66500000	66600000	+	12003	198667	197	53.962459	2.450462	-116.203165	0	10
interaction1082	chr14-73800000	chr14	73800000	73900000	+	10099	chr14-73700000	chr14	73700000	73800000	+	11541	88222	281	99.435504	2.900513	-115.309845	0	10
interaction1110	chr15-85900000	chr15	85900000	86000000	+	9877	chr15-85800000	chr15	85800000	85900000	+	8429	89590	239	76.618031	3.173894	-114.369206	0	10
interaction1111	chr14-7300000	chr14	7300000	7400000	+	8310	chr14-4300000	chr14	4300000	4400000	+	3862	2951186	49	1.937128	3.529738	-114.34645	0	10
interaction1145	chr15-57700000	chr15	57700000	57800000	+	13267	chr15-57400000	chr15	57400000	57500000	+	12827	296654	186	49.893601	2.209673	-112.589108	0	10
interaction1150	chr14-22500000	chr14	22500000	22600000	+	9960	chr14-21900000	chr14	21900000	22000000	+	14778	598327	130	25.133742	2.383976	-112.457848	0	10
interaction1167	chr15-59500000	chr15	59500000	59600000	+	9753	chr15-59200000	chr15	59200000	59300000	+	12661	297994	157	36.723428	2.435814	-111.744673	0	10
interaction1207	chr15-80500000	chr15	80500000	80600000	+	14857	chr15-80400000	chr15	80400000	80500000	+	9403	83844	313	121.271204	2.648577	-110.344999	0	10
interaction1221	chr15-80600000	chr15	80600000	80700000	+	12837	chr15-80000000	chr15	80000000	80100000	+	11786	595438	128	24.949416	2.371923	-109.832969	0	10
interaction1242	chr14-20800000	chr14	20800000	20900000	+	11310	chr14-20600000	chr14	20600000	20700000	+	12291	205236	202	59.339418	2.318922	-108.921273	0	10
interaction1250	chr15-27700000	chr15	27700000	27800000	+	10425	chr15-27600000	chr15	27600000	27700000	+	10803	80660	272	97.908442	2.852632	-108.580647	0	10
interaction1251	chr15-63500000	chr15	63500000	63600000	+	11422	chr15-61800000	chr15	61800000	61900000	+	12901	1702891	83	9.647735	2.620672	-108.514463	0	10
interaction1253	chr15-57600000	chr15	57600000	57700000	+	12454	chr15-57500000	chr15	57500000	57600000	+	11665	89895	310	120.462758	2.640302	-108.3447	0	10
interaction1281	chr15-82000000	chr15	82000000	82100000	+	10396	chr15-81900000	chr15	81900000	82000000	+	7137	79452	216	67.703461	3.235172	-107.088389	0	8
interaction1284	chr14-7300000	chr14	7300000	7400000	+	8310	chr14-4900000	chr14	4900000	5000000	+	2852	2408727	45	1.708816	3.636477	-107.006958	0	8
interaction1344	chr15-74800000	chr15	74800000	74900000	+	8002	chr15-74500000	chr15	74500000	74600000	+	10942	295122	132	28.001648	2.59477	-104.474129	0	8
interaction1374	chr14-79600000	chr14	79600000	79700000	+	9966	chr14-79500000	chr14	79500000	79600000	+	9888	102325	245	84.983816	2.954743	-103.945524	0	8
interaction1379	chr15-59000000	chr15	59000000	59100000	+	10818	chr15-58700000	chr15	58700000	58800000	+	10944	293558	149	35.565487	2.401151	-103.765088	0	8
interaction1400	chr14-75300000	chr14	75300000	75400000	+	11050	chr14-75100000	chr14	75100000	75200000	+	12883	199310	190	55.669096	2.323126	-102.932431	0	8
interaction1401	chr15-79200000	chr15	79200000	79300000	+	7569	chr15-79000000	chr15	79000000	79100000	+	8832	189460	133	28.874775	2.879861	-102.856224	0	8
interaction1412	chr15-59100000	chr15	59100000	59200000	+	13566	chr15-58900000	chr15	58900000	59000000	+	8725	205877	171	46.48817	2.462751	-102.278635	0	8
interaction1416	chr14-26300000	chr14	26300000	26400000	+	9335	chr14-26000000	chr14	26000000	26100000	+	13183	308955	158	40.257139	2.293356	-102.195954	0	8
interaction1430	chr14-54600000	chr14	54600000	54700000	+	3431	chr14-54500000	chr14	54500000	54600000	+	3703	76603	89	12.598418	5.382399	-101.463603	0	8
interaction1446	chr15-6500000	chr15	6500000	6600000	+	12876	chr15-5100000	chr15	5100000	5200000	+	13854	1383448	95	14.585954	2.353959	-100.880263	0	8
interaction1447	chr15-76700000	chr15	76700000	76800000	+	12076	chr15-76500000	chr15	76500000	76600000	+	9675	191009	174	48.460405	2.417527	-100.879631	0	8
interaction1451	chr14-79900000	chr14	79900000	80000000	+	11796	chr14-79800000	chr14	79800000	79900000	+	11903	80711	300	119.2053	2.577883	-100.75827	0	8
interaction1480	chr14-77400000	chr14	77400000	77500000	+	9391	chr14-76800000	chr14	76800000	76900000	+	11398	561421	102	17.309618	2.563654	-99.656834	0	8
interaction1484	chr15-59400000	chr15	59400000	59500000	+	14076	chr15-59200000	chr15	59200000	59300000	+	12661	205638	211	68.184405	2.139407	-99.557035	0	8
interaction1498	chr15-77700000	chr15	77700000	77800000	+	9868	chr15-77500000	chr15	77500000	77600000	+	8798	184484	148	36.645772	2.635942	-99.083896	0	8
interaction1500	chr15-37800000	chr15	37800000	37900000	+	12354	chr15-37300000	chr15	37300000	37400000	+	9941	505032	117	23.193488	2.423296	-99.058678	0	8
interaction1511	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-95700000	chr15	95700000	95800000	+	5291	390013	101	17.223535	2.743439	-98.582063	0	8
interaction1513	chr14-22400000	chr14	22400000	22500000	+	12663	chr14-21900000	chr14	21900000	22000000	+	14778	493462	149	37.218464	2.084159	-98.532805	0	8
interaction1515	chr15-63400000	chr15	63400000	63500000	+	12956	chr15-61700000	chr15	61700000	61800000	+	10949	1693750	77	9.26456	2.575812	-98.493605	0	8
interaction1523	chr14-28200000	chr14	28200000	28300000	+	12847	chr14-28000000	chr14	28000000	28100000	+	9198	201410	174	49.575698	2.374682	-98.054711	0	8
interaction1541	chr15-96200000	chr15	96200000	96300000	+	11841	chr15-95600000	chr15	95600000	95700000	+	10875	599647	114	22.404708	2.35727	-97.330386	0	8
interaction1544	chr15-98600000	chr15	98600000	98700000	+	9614	chr15-98400000	chr15	98400000	98500000	+	11097	193296	169	47.349828	2.405872	-97.306082	0	8
interaction1565	chr15-5800000	chr15	5800000	5900000	+	14585	chr15-5200000	chr15	5200000	5300000	+	12306	606692	133	30.643346	2.132077	-96.409209	0	8
interaction1615	chr15-94000000	chr15	94000000	94100000	+	12738	chr15-93700000	chr15	93700000	93800000	+	9867	290056	153	40.63024	2.223841	-94.267266	0	8
interaction1619	chr15-77600000	chr15	77600000	77700000	+	10854	chr15-77500000	chr15	77500000	77600000	+	8798	71830	237	85.749025	2.836995	-94.21613	0	8
interaction1624	chr15-97700000	chr15	97700000	97800000	+	7399	chr15-97500000	chr15	97500000	97600000	+	8598	206247	127	28.793268	2.797673	-94.006967	0	8
interaction1659	chr15-66900000	chr15	66900000	67000000	+	9622	chr15-66500000	chr15	66500000	66600000	+	12003	394407	122	26.897285	2.354366	-92.905506	0	8
interaction1664	chr14-26300000	chr14	26300000	26400000	+	9335	chr14-26100000	chr14	26100000	26200000	+	11006	204229	160	44.61623	2.413987	-92.797434	0	8
interaction1668	chr15-85900000	chr15	85900000	86000000	+	9877	chr15-85400000	chr15	85400000	85500000	+	12243	489958	116	24.427528	2.333523	-92.627815	0	8
interaction1690	chr14-7700000	chr14	7700000	7800000	+	8831	chr14-7300000	chr14	7300000	7400000	+	8310	441034	111	22.521739	2.48	-92.092648	0	8
interaction1692	chr15-38400000	chr15	38400000	38500000	+	11677	chr15-38200000	chr15	38200000	38300000	+	9872	208650	162	45.901576	2.384109	-92.017634	0	8
interaction1707	chr15-98500000	chr15	98500000	98600000	+	8617	chr15-98300000	chr15	98300000	98400000	+	9294	199134	141	35.828469	2.586414	-91.747815	0	8
interaction1723	chr15-57800000	chr15	57800000	57900000	+	11212	chr15-57400000	chr15	57400000	57500000	+	12827	396810	134	32.696089	2.199467	-91.263543	0	8
interaction1726	chr14-26300000	chr14	26300000	26400000	+	9335	chr14-26200000	chr14	26200000	26300000	+	9578	96368	231	83.891365	2.826313	-91.235486	0	8
interaction1735	chr15-80600000	chr15	80600000	80700000	+	12837	chr15-79900000	chr15	79900000	80000000	+	12264	699526	112	23.14938	2.219715	-91.091629	0	8
interaction1750	chr15-98800000	chr15	98800000	98900000	+	11369	chr15-98700000	chr15	98700000	98800000	+	6953	90958	217	76.383488	2.912557	-90.581759	0	8
interaction1756	chr15-80400000	chr15	80400000	80500000	+	9403	chr15-80200000	chr15	80200000	80300000	+	8225	186331	133	32.539472	2.656226	-90.491109	0	8
interaction1762	chr15-86200000	chr15	86200000	86300000	+	9779	chr15-86100000	chr15	86100000	86200000	+	11366	87634	257	99.817991	2.640228	-90.35616	0	8
interaction1811	chr15-74900000	chr15	74900000	75000000	+	7806	chr15-74600000	chr15	74600000	74700000	+	10466	296857	118	26.197013	2.516655	-89.388128	0	8
interaction1842	chr15-57800000	chr15	57800000	57900000	+	11212	chr15-57500000	chr15	57500000	57600000	+	11665	292824	145	38.8825	2.206782	-88.331512	0	8
interaction1857	chr15-96100000	chr15	96100000	96200000	+	12735	chr15-95800000	chr15	95800000	95900000	+	15026	297918	187	60.609602	1.893129	-88.07069	0	8
interaction1861	chr15-100400000	chr15	100400000	100500000	+	9471	chr15-100300000	chr15	100300000	100400000	+	13680	82609	290	121.915442	2.42039	-87.946261	0	8
interaction1871	chr15-96400000	chr15	96400000	96500000	+	11134	chr15-96300000	chr15	96300000	96400000	+	10321	92632	264	105.743846	2.554607	-87.714356	0	8
interaction1879	chr15-96200000	chr15	96200000	96300000	+	11841	chr15-95500000	chr15	95500000	95600000	+	10897	694004	102	19.981491	2.291909	-87.582712	0	8
interaction1894	chr15-96000000	chr15	96000000	96100000	+	11033	chr15-95500000	chr15	95500000	95600000	+	10897	497062	113	24.593047	2.284025	-87.307911	0	8
interaction1909	chr15-79300000	chr15	79300000	79400000	+	10674	chr15-79100000	chr15	79100000	79200000	+	6766	206896	127	30.975626	2.66099	-86.919168	0	8
interaction1914	chr15-84400000	chr15	84400000	84500000	+	9255	chr15-84000000	chr15	84000000	84100000	+	9777	399383	108	22.635261	2.429391	-86.819513	0	8
interaction1917	chr15-58900000	chr15	58900000	59000000	+	8725	chr15-58700000	chr15	58700000	58800000	+	10944	173677	142	38.061215	2.486353	-86.732149	0	8
interaction1951	chr15-78800000	chr15	78800000	78900000	+	9763	chr15-78700000	chr15	78700000	78800000	+	7847	88275	202	70.146117	2.949384	-86.069796	0	6
interaction1987	chr14-79900000	chr14	79900000	80000000	+	11796	chr14-79700000	chr14	79700000	79800000	+	9956	186477	159	47.009607	2.303774	-85.498389	0	6
interaction1994	chr15-86000000	chr15	86000000	86100000	+	10427	chr15-85800000	chr15	85800000	85900000	+	8429	177712	140	37.609902	2.48186	-85.326703	0	6
interaction2000	chr14-70500000	chr14	70500000	70600000	+	8645	chr14-70200000	chr14	70200000	70300000	+	9606	313345	115	26.067453	2.481569	-85.250574	0	6
interaction2012	chr15-103100000	chr15	103100000	103200000	+	9553	chr15-103000000	chr15	103000000	103100000	+	12715	88023	283	119.609311	2.405341	-84.951234	0	6
interaction2024	chr14-26600000	chr14	26600000	26700000	+	8085	chr14-26500000	chr14	26500000	26600000	+	9382	78419	206	73.200499	2.885622	-84.594481	0	6
interaction2028	chr14-54800000	chr14	54800000	54900000	+	11577	chr14-53700000	chr14	53700000	53800000	+	7313	1106643	69	8.880741	2.648602	-84.4924	0	6
interaction2040	chr15-80700000	chr15	80700000	80800000	+	12931	chr15-80000000	chr15	80000000	80100000	+	11786	689889	106	22.464556	2.183532	-84.234693	0	6
interaction2046	chr15-66900000	chr15	66900000	67000000	+	9622	chr15-66700000	chr15	66700000	66800000	+	11431	183819	152	43.985488	2.34351	-84.17008	0	6
interaction2052	chr15-6100000	chr15	6100000	6200000	+	11510	chr15-5100000	chr15	5100000	5200000	+	13854	998787	94	17.66386	2.206434	-84.048415	0	6
interaction2056	chr15-63500000	chr15	63500000	63600000	+	11422	chr15-61000000	chr15	61000000	61100000	+	14717	2496970	66	8.042701	2.455786	-83.998034	0	6
interaction2058	chr15-79400000	chr15	79400000	79500000	+	11696	chr15-79300000	chr15	79300000	79400000	+	10674	85366	269	111.373597	2.462446	-83.94964	0	6
interaction2100	chr14-61300000	chr14	61300000	61400000	+	10866	chr14-61100000	chr14	61100000	61200000	+	7318	206000	127	32.217819	2.587362	-83.086989	0	6
interaction2103	chr15-59000000	chr15	59000000	59100000	+	10818	chr15-58900000	chr15	58900000	59000000	+	8725	118160	217	80.479898	2.767169	-82.950395	0	6
interaction2109	chr15-95600000	chr15	95600000	95700000	+	10875	chr15-95500000	chr15	95500000	95600000	+	10897	70329	264	109.005175	2.469926	-82.825274	0	6
interaction2112	chr14-7600000	chr14	7600000	7700000	+	3105	chr14-4300000	chr14	4300000	4400000	+	3862	3275755	32	0.696569	3.838906	-82.677667	0	6
interaction2150	chr14-26200000	chr14	26200000	26300000	+	9578	chr14-25900000	chr14	25900000	26000000	+	11392	300611	134	35.841684	2.209727	-82.115399	0	6
interaction2154	chr15-86000000	chr15	86000000	86100000	+	10427	chr15-85400000	chr15	85400000	85500000	+	12243	573519	103	21.796987	2.248707	-82.068938	0	6
interaction2155	chr15-76100000	chr15	76100000	76200000	+	10985	chr15-76000000	chr15	76000000	76100000	+	4678	98902	157	47.72857	3.314655	-82.052718	0	6
interaction2163	chr15-85600000	chr15	85600000	85700000	+	7611	chr15-85400000	chr15	85400000	85500000	+	12243	192467	142	39.898042	2.397835	-81.925699	0	6
interaction2187	chr14-122400000	chr14	122400000	122500000	+	12601	chr14-122300000	chr14	122300000	122400000	+	12025	83891	313	141.487959	2.218381	-81.444087	0	6
interaction2191	chr14-122500000	chr14	122500000	122600000	+	13758	chr14-122200000	chr14	122200000	122300000	+	11602	283191	167	52.968423	1.928223	-81.397171	0	6
interaction2211	chr14-26200000	chr14	26200000	26300000	+	9578	chr14-25800000	chr14	25800000	25900000	+	11094	395135	114	26.856822	2.250521	-81.082306	0	6
interaction2234	chr15-80000000	chr15	80000000	80100000	+	11786	chr15-79900000	chr15	79900000	80000000	+	12264	83425	289	126.603423	2.305477	-80.449819	0	6
interaction2253	chr15-74800000	chr15	74800000	74900000	+	8002	chr15-74600000	chr15	74600000	74700000	+	10466	206000	131	35.203631	2.479998	-79.966261	0	6
interaction2267	chr14-17100000	chr14	17100000	17200000	+	11713	chr14-15600000	chr14	15600000	15700000	+	12209	1496952	75	11.589426	2.317793	-79.72769	0	6
interaction2290	chr15-97400000	chr15	97400000	97500000	+	12193	chr15-97000000	chr15	97000000	97100000	+	9537	400592	119	29.745959	2.159886	-79.173454	0	6
interaction2315	chr14-54800000	chr14	54800000	54900000	+	11577	chr14-54100000	chr14	54100000	54200000	+	7028	684092	78	12.827169	2.523831	-78.849887	0	6
interaction2320	chr15-37800000	chr15	37800000	37900000	+	12354	chr15-37500000	chr15	37500000	37600000	+	12928	305040	154	47.220185	1.983858	-78.806307	0	6
interaction2339	chr15-37700000	chr15	37700000	37800000	+	10415	chr15-37500000	chr15	37500000	37600000	+	12928	189851	164	52.791078	2.144046	-78.370146	0	6
interaction2366	chr15-86000000	chr15	86000000	86100000	+	10427	chr15-85700000	chr15	85700000	85800000	+	7744	294616	111	26.46917	2.39671	-78.059628	0	6
interaction2381	chr15-66600000	chr15	66600000	66700000	+	13003	chr15-66400000	chr15	66400000	66500000	+	13607	201490	192	68.62139	1.948291	-77.866894	0	6
interaction2410	chr14-77200000	chr14	77200000	77300000	+	13333	chr14-76800000	chr14	76800000	76900000	+	11398	391868	128	34.647557	2.037928	-77.334063	0	6
interaction2411	chr15-38300000	chr15	38300000	38400000	+	12513	chr15-38200000	chr15	38200000	38300000	+	9872	104217	251	104.767026	2.439323	-77.313618	0	6
interaction2416	chr15-94000000	chr15	94000000	94100000	+	12738	chr15-93100000	chr15	93100000	93200000	+	12899	890204	95	19.744924	2.107763	-77.176108	0	6
interaction2419	chr14-31300000	chr14	31300000	31400000	+	11599	chr14-30800000	chr14	30800000	30900000	+	12205	501520	114	28.091162	2.099793	-77.101658	0	6
